period,sex,age,initial_state,final_state,calibrated_probability
2010,female,13,1,2,0.0
2010,female,13,1,4,0.0
2010,female,13,1,5,0.0
2010,female,13,2,1,0.0
2010,female,13,2,2,1.0
2010,female,13,2,3,0.0
2010,female,13,2,4,0.0
2010,female,13,2,5,0.0
2010,female,13,3,2,0.0
2010,female,13,3,3,1.0
2010,female,13,3,4,0.0
2010,female,13,3,5,0.0
2010,female,13,4,4,1.0
2010,female,13,4,5,0.0
2010,male,13,0,0,1.0
2010,male,13,0,1,0.0
2010,male,13,0,4,0.0
2010,male,13,0,5,0.0
2010,male,13,1,0,0.0
2010,male,13,1,1,1.0
2010,male,13,1,2,0.0
2010,male,13,1,4,0.0
2010,male,13,1,5,0.0
2010,male,13,2,1,0.0
2010,male,13,2,2,1.0
2010,male,13,2,3,0.0
2010,male,13,2,4,0.0
2010,male,13,2,5,0.0
2010,male,13,3,2,0.0
2010,male,13,3,3,1.0
2010,male,13,3,4,0.0
2010,male,13,3,5,0.0
2010,male,13,4,4,1.0
2010,male,13,4,5,0.0
2010,female,14,0,0,1.0
2010,female,14,0,1,0.0
2010,female,14,0,4,0.0
2010,female,14,0,5,0.0
2010,female,14,1,0,0.0
2010,female,14,1,1,1.0
2010,female,14,1,2,0.0
2010,female,14,1,4,0.0
2010,female,14,1,5,0.0
2010,female,14,2,1,0.0
2010,female,14,2,2,1.0
2010,female,14,2,3,0.0
2010,female,14,2,4,0.0
2010,female,14,2,5,0.0
2010,female,14,3,2,0.0
2010,female,14,3,3,1.0
2010,female,14,3,4,0.0
2010,female,14,3,5,0.0
2010,female,14,4,4,1.0
2010,female,14,4,5,0.0
2010,male,14,0,0,1.0
2010,male,14,0,1,0.0
2010,male,14,0,4,0.0
2010,male,14,0,5,0.0
2010,male,14,1,0,0.0
2010,male,14,1,1,1.0
2010,male,14,1,2,0.0
2010,male,14,1,4,0.0
2010,male,14,1,5,0.0
2010,male,14,2,1,0.0
2010,male,14,2,2,1.0
2010,male,14,2,3,0.0
2010,male,14,2,4,0.0
2010,male,14,2,5,0.0
2010,male,14,3,2,0.0
2010,male,14,3,3,1.0
2010,male,14,3,4,0.0
2010,male,14,3,5,0.0
2010,male,14,4,4,1.0
2010,male,14,4,5,0.0
2010,female,15,0,0,1.0
2010,female,15,0,1,0.0
2010,female,15,0,4,0.0
2010,female,15,0,5,0.0
2010,female,15,1,0,0.0
2010,female,15,1,1,1.0
2010,female,15,1,2,0.0
2010,female,15,1,4,0.0
2010,female,15,1,5,0.0
2010,female,15,2,1,0.0
2010,female,15,2,2,1.0
2010,female,15,2,3,0.0
2010,female,15,2,4,0.0
2010,female,15,2,5,0.0
2010,female,15,3,2,0.0
2010,female,15,3,3,1.0
2010,female,15,3,4,0.0
2010,female,15,3,5,0.0
2010,female,15,4,4,1.0
2010,female,15,4,5,0.0
2010,male,15,0,0,1.0
2010,male,15,0,1,0.0
2010,male,15,0,4,0.0
2010,male,15,0,5,0.0
2010,male,15,1,0,0.0
2010,male,15,1,1,1.0
2010,male,15,1,2,0.0
2010,male,15,1,4,0.0
2010,male,15,1,5,0.0
2010,male,15,2,1,0.0
2010,male,15,2,2,1.0
2010,male,15,2,3,0.0
2010,male,15,2,4,0.0
2010,male,15,2,5,0.0
2010,male,15,3,2,0.0
2010,male,15,3,3,1.0
2010,male,15,3,4,0.0
2010,male,15,3,5,0.0
2010,male,15,4,4,1.0
2010,male,15,4,5,0.0
2010,female,16,0,0,1.0
2010,female,16,0,1,0.0
2010,female,16,0,4,0.0
2010,female,16,0,5,0.0
2010,female,16,1,0,0.0
2010,female,16,1,1,1.0
2010,female,16,1,2,0.0
2010,female,16,1,4,0.0
2010,female,16,1,5,0.0
2010,female,16,2,1,0.0
2010,female,16,2,2,1.0
2010,female,16,2,3,0.0
2010,female,16,2,4,0.0
2010,female,16,2,5,0.0
2010,female,16,3,2,0.0
2010,female,16,3,3,1.0
2010,female,16,3,4,0.0
2010,female,16,3,5,0.0
2010,female,16,4,4,1.0
2010,female,16,4,5,0.0
2010,male,16,0,0,1.0
2010,male,16,0,1,0.0
2010,male,16,0,4,0.0
2010,male,16,0,5,0.0
2010,male,16,1,0,0.0
2010,male,16,1,1,1.0
2010,male,16,1,2,0.0
2010,male,16,1,4,0.0
2010,male,16,1,5,0.0
2010,male,16,2,1,0.0
2010,male,16,2,2,1.0
2010,male,16,2,3,0.0
2010,male,16,2,4,0.0
2010,male,16,2,5,0.0
2010,male,16,3,2,0.0
2010,male,16,3,3,1.0
2010,male,16,3,4,0.0
2010,male,16,3,5,0.0
2010,male,16,4,4,1.0
2010,male,16,4,5,0.0
2010,female,17,0,0,1.0
2010,female,17,0,1,0.0
2010,female,17,0,4,0.0
2010,female,17,0,5,0.0
2010,female,17,1,0,0.0
2010,female,17,1,1,1.0
2010,female,17,1,2,0.0
2010,female,17,1,4,0.0
2010,female,17,1,5,0.0
2010,female,17,2,1,0.0
2010,female,17,2,2,1.0
2010,female,17,2,3,0.0
2010,female,17,2,4,0.0
2010,female,17,2,5,0.0
2010,female,17,3,2,0.0
2010,female,17,3,3,1.0
2010,female,17,3,4,0.0
2010,female,17,3,5,0.0
2010,female,17,4,4,1.0
2010,female,17,4,5,0.0
2010,male,17,0,0,1.0
2010,male,17,0,1,0.0
2010,male,17,0,4,0.0
2010,male,17,0,5,0.0
2010,male,17,1,0,0.0
2010,male,17,1,1,1.0
2010,male,17,1,2,0.0
2010,male,17,1,4,0.0
2010,male,17,1,5,0.0
2010,male,17,2,1,0.0
2010,male,17,2,2,1.0
2010,male,17,2,3,0.0
2010,male,17,2,4,0.0
2010,male,17,2,5,0.0
2010,male,17,3,2,0.0
2010,male,17,3,3,1.0
2010,male,17,3,4,0.0
2010,male,17,3,5,0.0
2010,male,17,4,4,1.0
2010,male,17,4,5,0.0
2010,female,18,0,0,1.0
2010,female,18,0,1,0.0
2010,female,18,0,4,0.0
2010,female,18,0,5,0.0
2010,female,18,1,0,0.0
2010,female,18,1,1,1.0
2010,female,18,1,2,0.0
2010,female,18,1,4,0.0
2010,female,18,1,5,0.0
2010,female,18,2,1,0.0
2010,female,18,2,2,1.0
2010,female,18,2,3,0.0
2010,female,18,2,4,0.0
2010,female,18,2,5,0.0
2010,female,18,3,2,0.0
2010,female,18,3,3,1.0
2010,female,18,3,4,0.0
2010,female,18,3,5,0.0
2010,female,18,4,4,1.0
2010,female,18,4,5,0.0
2010,male,18,0,0,1.0
2010,male,18,0,1,0.0
2010,male,18,0,4,0.0
2010,male,18,0,5,0.0
2010,male,18,1,0,0.0
2010,male,18,1,1,1.0
2010,male,18,1,2,0.0
2010,male,18,1,4,0.0
2010,male,18,1,5,0.0
2010,male,18,2,1,0.0
2010,male,18,2,2,1.0
2010,male,18,2,3,0.0
2010,male,18,2,4,0.0
2010,male,18,2,5,0.0
2010,male,18,3,2,0.0
2010,male,18,3,3,1.0
2010,male,18,3,4,0.0
2010,male,18,3,5,0.0
2010,male,18,4,4,1.0
2010,male,18,4,5,0.0
2010,female,19,0,0,1.0
2010,female,19,0,1,0.0
2010,female,19,0,4,0.0
2010,female,19,0,5,0.0
2010,female,19,1,0,0.0
2010,female,19,1,1,1.0
2010,female,19,1,2,0.0
2010,female,19,1,4,0.0
2010,female,19,1,5,0.0
2010,female,19,2,1,0.0
2010,female,19,2,2,1.0
2010,female,19,2,3,0.0
2010,female,19,2,4,0.0
2010,female,19,2,5,0.0
2010,female,19,3,2,0.0
2010,female,19,3,3,1.0
2010,female,19,3,4,0.0
2010,female,19,3,5,0.0
2010,female,19,4,4,1.0
2010,female,19,4,5,0.0
2010,male,19,0,0,1.0
2010,male,19,0,1,0.0
2010,male,19,0,4,0.0
2010,male,19,0,5,0.0
2010,male,19,1,0,0.0
2010,male,19,1,1,1.0
2010,male,19,1,2,0.0
2010,male,19,1,4,0.0
2010,male,19,1,5,0.0
2010,male,19,2,1,0.0
2010,male,19,2,2,1.0
2010,male,19,2,3,0.0
2010,male,19,2,4,0.0
2010,male,19,2,5,0.0
2010,male,19,3,2,0.0
2010,male,19,3,3,1.0
2010,male,19,3,4,0.0
2010,male,19,3,5,0.0
2010,male,19,4,4,1.0
2010,male,19,4,5,0.0
2010,female,20,0,0,1.0
2010,female,20,0,1,0.0
2010,female,20,0,4,0.0
2010,female,20,0,5,0.0
2010,female,20,1,0,0.0
2010,female,20,1,1,1.0
2010,female,20,1,2,0.0
2010,female,20,1,4,0.0
2010,female,20,1,5,0.0
2010,female,20,2,1,0.0
2010,female,20,2,2,1.0
2010,female,20,2,3,0.0
2010,female,20,2,4,0.0
2010,female,20,2,5,0.0
2010,female,20,3,2,0.0
2010,female,20,3,3,1.0
2010,female,20,3,4,0.0
2010,female,20,3,5,0.0
2010,female,20,4,4,1.0
2010,female,20,4,5,0.0
2010,male,20,0,0,1.0
2010,male,20,0,1,0.0
2010,male,20,0,4,0.0
2010,male,20,0,5,0.0
2010,male,20,1,0,0.0
2010,male,20,1,1,1.0
2010,male,20,1,2,0.0
2010,male,20,1,4,0.0
2010,male,20,1,5,0.0
2010,male,20,2,1,0.0
2010,male,20,2,2,1.0
2010,male,20,2,3,0.0
2010,male,20,2,4,0.0
2010,male,20,2,5,0.0
2010,male,20,3,2,0.0
2010,male,20,3,3,1.0
2010,male,20,3,4,0.0
2010,male,20,3,5,0.0
2010,male,20,4,4,1.0
2010,male,20,4,5,0.0
2010,female,21,0,0,1.0
2010,female,21,0,1,0.0
2010,female,21,0,4,0.0
2010,female,21,0,5,0.0
2010,female,21,1,0,0.0
2010,female,21,1,1,1.0
2010,female,21,1,2,0.0
2010,female,21,1,4,0.0
2010,female,21,1,5,0.0
2010,female,21,2,1,0.0
2010,female,21,2,2,1.0
2010,female,21,2,3,0.0
2010,female,21,2,4,0.0
2010,female,21,2,5,0.0
2010,female,21,3,2,0.0
2010,female,21,3,3,1.0
2010,female,21,3,4,0.0
2010,female,21,3,5,0.0
2010,female,21,4,4,1.0
2010,female,21,4,5,0.0
2010,male,21,0,0,1.0
2010,male,21,0,1,0.0
2010,male,21,0,4,0.0
2010,male,21,0,5,0.0
2010,male,21,1,0,0.0
2010,male,21,1,1,1.0
2010,male,21,1,2,0.0
2010,male,21,1,4,0.0
2010,male,21,1,5,0.0
2010,male,21,2,1,0.0
2010,male,21,2,2,1.0
2010,male,21,2,3,0.0
2010,male,21,2,4,0.0
2010,male,21,2,5,0.0
2010,male,21,3,2,0.0
2010,male,21,3,3,1.0
2010,male,21,3,4,0.0
2010,male,21,3,5,0.0
2010,male,21,4,4,1.0
2010,male,21,4,5,0.0
2010,female,22,0,0,1.0
2010,female,22,0,1,0.0
2010,female,22,0,4,0.0
2010,female,22,0,5,0.0
2010,female,22,1,0,0.0
2010,female,22,1,1,1.0
2010,female,22,1,2,0.0
2010,female,22,1,4,0.0
2010,female,22,1,5,0.0
2010,female,22,2,1,0.0
2010,female,22,2,2,1.0
2010,female,22,2,3,0.0
2010,female,22,2,4,0.0
2010,female,22,2,5,0.0
2010,female,22,3,2,0.0
2010,female,22,3,3,1.0
2010,female,22,3,4,0.0
2010,female,22,3,5,0.0
2010,female,22,4,4,1.0
2010,female,22,4,5,0.0
2010,male,22,0,0,1.0
2010,male,22,0,1,0.0
2010,male,22,0,4,0.0
2010,male,22,0,5,0.0
2010,male,22,1,0,0.0
2010,male,22,1,1,1.0
2010,male,22,1,2,0.0
2010,male,22,1,4,0.0
2010,male,22,1,5,0.0
2010,male,22,2,1,0.0
2010,male,22,2,2,1.0
2010,male,22,2,3,0.0
2010,male,22,2,4,0.0
2010,male,22,2,5,0.0
2010,male,22,3,2,0.0
2010,male,22,3,3,1.0
2010,male,22,3,4,0.0
2010,male,22,3,5,0.0
2010,male,22,4,4,1.0
2010,male,22,4,5,0.0
2010,female,23,0,0,1.0
2010,female,23,0,1,0.0
2010,female,23,0,4,0.0
2010,female,23,0,5,0.0
2010,female,23,1,0,0.0
