age,initial_state,final_state,probability,mortality
110,3,5,0.5642981905,0.339922876097
111,3,5,0.535473706179,0.318438341879
112,3,5,0.501091001074,0.293665094359
113,3,5,0.461062062876,0.265876075091
114,3,5,0.415688940504,0.235597580135
115,3,5,0.365821166524,0.203646539861
116,3,5,0.312959649232,0.171121027671
117,3,5,0.259228490953,0.139319159591
118,3,5,0.207152369744,0.109580082064
119,3,5,0.159249651825,0.0830756038935
65,4,5,0.605974631503,0.372285599578
66,4,5,0.607224169338,0.373281697521
67,4,5,0.606480832448,0.372688938762
68,4,5,0.604039498202,0.370746075262
69,4,5,0.600189208692,0.367694068264
70,4,5,0.595217693253,0.363774955895
71,4,5,0.589414897965,0.359230851215
72,4,5,0.583075305176,0.354302938814
73,4,5,0.576499023241,0.349230473394
74,4,5,0.569991783474,0.344249882557
75,4,5,0.563864095868,0.339594136813
76,4,5,0.558429877734,0.3354925717
77,4,5,0.554004868633,0.332171330829
78,4,5,0.550905071977,0.329854547114
79,4,5,0.549445314749,0.328766296101
80,4,5,0.549937793461,0.329133242336
81,4,5,0.55269018256,0.331187756212
82,4,5,0.558002531281,0.335171098162
83,4,5,0.566161785839,0.341336038513
84,4,5,0.577432388359,0.349947993126
85,4,5,0.592041112404,0.361283405887
86,4,5,0.610154272492,0.375623729224
87,4,5,0.631845986748,0.393243036091
88,4,5,0.657057692171,0.414387237307
89,4,5,0.68555203783,0.439243402027
90,4,5,0.716868744432,0.467899205443
91,4,5,0.750295309939,0.500295397199
92,4,5,0.784869425033,0.536178293988
93,4,5,0.819429086752,0.575063636237
94,4,5,0.852717197659,0.616225584045
95,4,5,0.883529711166,0.658722563251
96,4,5,0.910876109864,0.701463754066
97,4,5,0.934109221911,0.743308009301
98,4,5,0.952987315837,0.783175914245
99,4,5,0.967654384653,0.820151131926
100,4,5,0.978552810844,0.853551411219
101,4,5,0.986301656373,0.882960076783
102,4,5,0.991576445979,0.908220078335
103,4,5,0.995015677688,0.929400266911
104,4,5,0.997164018069,0.94674606183
105,4,5,0.998449632003,0.960625287339
106,4,5,0.999186428898,0.971476832187
107,4,5,0.999590609687,0.979766604026
108,4,5,0.999802676131,0.985952798543
109,4,5,0.999909005166,0.99046087875
110,4,5,0.999959901489,0.993667661484
111,4,5,0.999983135103,0.995893310738
112,4,5,0.999993238441,0.99739970022
113,4,5,0.999997419058,0.998393468835
114,4,5,0.999999063221,0.999032126674
115,4,5,0.99999967709,0.999431748512
116,4,5,0.999999894423,0.99967507419
117,4,5,0.999999967299,0.999819166787
118,4,5,0.999999990417,0.999902107075
119,4,5,0.999999997346,0.999948485171
