SEXES REUNIS
     Table de mortalité : année 1899

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

  81    7455    1295 0.17377  3.98    6807
  82    6159    1219 0.19795  3.71    5550
  83    4940    1033 0.20904  3.50    4424
  84    3907     904 0.23136  3.29    3455
  85    3003     695 0.23149  3.14    2656
  86    2308     581 0.25172  2.93    2018
  87    1727     498 0.28819  2.75    1478
  88    1229     367 0.29831  2.66    1046
  89     863     243 0.28123  2.57     741
  90     620     194 0.31298  2.38     523
  91     426     145 0.33949  2.24     354
  92     281     100 0.35375  2.14     232
  93     182      72 0.39779  2.04     146
  94     109      40 0.36109  2.05      90
  95      70      28 0.39385  1.93      56
  96      42      17 0.39992  1.86      34
  97      25      11 0.43981  1.77      20
  98      14       6 0.42096  1.76      11
  99       8       3 0.40501  1.67       7
 100       5       2 0.44427  1.47       4
 101       3       2 0.56082  1.25       2
 102       1       1 0.54788  1.21       1
 103       1       0 0.53851  1.08       0
 104       0       0 0.75003  0.75       0
 105       0                  0.50       0
 Total population stationnaire     4518570



               SEXES REUNIS
     Table de mortalité : année 1901

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000   14734 0.14734 47.19   92633
   1   85266    2572 0.03016 54.26   83980
   2   82695    1484 0.01795 54.93   81953
   3   81211     913 0.01124 54.92   80754
   4   80298     695 0.00865 54.54   79950
   5   79603     520 0.00653 54.01   79343
   6   79083     411 0.00520 53.37   78877
   7   78672     354 0.00450 52.64   78495
   8   78317     308 0.00393 51.88   78163
   9   78009     287 0.00367 51.08   77866
  10   77723     255 0.00328 50.27   77595
  11   77468     236 0.00305 49.43   77350
  12   77232     245 0.00318 48.58   77109
  13   76987     259 0.00336 47.73   76857
  14   76728     273 0.00355 46.89   76591
  15   76455     314 0.00411 46.06   76298
  16   76141     350 0.00459 45.25   75966
  17   75791     388 0.00511 44.45   75597
  18   75404     415 0.00551 43.68   75196
  19   74988     442 0.00590 42.92   74767
  20   74546     505 0.00678 42.17   74294
  21   74041     541 0.00730 41.45   73771
  22   73500     594 0.00808 40.76   73203
  23   72906     562 0.00770 40.08   72626
  24   72345     536 0.00741 39.39   72077
  25   71808     525 0.00731 38.68   71546
  26   71283     529 0.00742 37.96   71019
  27   70754     531 0.00750 37.24   70489
  28   70224     530 0.00755 36.52   69959
  29   69694     529 0.00759 35.79   69429
  30   69165     550 0.00796 35.06   68889
  31   68614     520 0.00758 34.34   68354
  32   68094     567 0.00833 33.60   67811
  33   67527     548 0.00812 32.88   67253
  34   66979     561 0.00837 32.14   66699
  35   66418     578 0.00871 31.41   66129
  36   65840     601 0.00913 30.68   65540
  37   65239     628 0.00962 29.96   64925
  38   64612     633 0.00980 29.25   64295
  39   63978     623 0.00973 28.53   63667
  40   63356     671 0.01059 27.81   63020
  41   62685     623 0.00994 27.10   62374
  42   62062     689 0.01111 26.36   61717
  43   61373     679 0.01107 25.65   61033
  44   60693     677 0.01115 24.94   60355
  45   60016     716 0.01192 24.21   59659
  46   59301     731 0.01233 23.50   58935
  47   58570     773 0.01320 22.79   58183
  48   57797     786 0.01359 22.08   57404
  49   57011     767 0.01346 21.38   56627
  50   56244     881 0.01566 20.67   55803
  51   55363     838 0.01514 19.99   54944
  52   54525     904 0.01657 19.29   54073
  53   53621     934 0.01742 18.60   53154
  54   52687     974 0.01848 17.92   52200
  55   51713     995 0.01924 17.25   51216
  56   50718    1048 0.02066 16.58   50194
  57   49670    1108 0.02231 15.92   49116
  58   48562    1179 0.02429 15.27   47972
  59   47383    1126 0.02377 14.64   46819
  60   46256    1345 0.02907 13.98   45584
  61   44912    1296 0.02886 13.39   44264
  62   43615    1428 0.03274 12.77   42901
  63   42188    1456 0.03451 12.19   41460
  64   40732    1501 0.03685 11.60   39981
  65   39231    1591 0.04055 11.03   38435
  66   37640    1665 0.04422 10.47   36808
  67   35975    1740 0.04837  9.93   35105
  68   34235    1807 0.05278  9.41   33332
  69   32428    1750 0.05395  8.91   31553
  70   30679    1997 0.06509  8.39   29680
  71   28682    1865 0.06502  7.94   27749
  72   26817    2018 0.07526  7.46   25808
  73   24799    2034 0.08201  7.02   23782
  74   22765    2091 0.09186  6.61   21719
  75   20674    2031 0.09824  6.22   19658
  76   18643    1946 0.10437  5.85   17670
  77   16697    1988 0.11906  5.47   15703
  78   14709    1980 0.13458  5.14   13719
  79   12730    1664 0.13075  4.86   11897
  80   11065    1719 0.15531  4.52   10206
  81    9347    1466 0.15683  4.26    8614
  82    7881    1503 0.19070  3.96    7129
  83    6378    1215 0.19053  3.77    5770
